place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChdDSUhNMG9nS0VJQ0FnSURicEtEeTBRRRAB,5,,2 days ago,2024-08-02 20:22:57.291173,,,,0,,,,,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChdDSUhNMG9nS0VJQ0FnSUNiajVIeml3RRAB,5,Oke,4 days ago,2024-07-31 20:22:57.297005,,,,0,2,7,False,Okay,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNiOTdQUFpREAE,3,,4 days ago,2024-07-31 20:22:57.299557,,,,0,2,11,False,,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNieDRMT1R3EAE,4,,4 days ago,2024-07-31 20:22:57.301271,,,,0,1,,False,,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChdDSUhNMG9nS0VJQ0FnSUNieGRYRXlRRRAB,4,Pelayanan sopir yg menyetir kebut2an tidak selalu disukai oleh setiap penumpang. Biar lambat asal selamat. Semoga Primajasa lebih mengedepankan keselamatan penumpangnya...,6 days ago,2024-07-29 20:22:57.302993,,,,0,9,,False,The service of a driver who drives fast is not always liked by every passenger. Let it be slow as long as its safe. Hopefully Primajasa will prioritize the safety of its passengers...,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNiaFllUUd3EAE,5,,6 days ago,2024-07-29 20:22:57.305311,,,,0,6,1,False,,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNidWFtWFNBEAE,5,Tolong ditambahkan juga informsi keberangkatan bis tiap rute dan ongkosnya juga.,6 days ago,2024-07-29 20:22:57.307242,,,,0,2,,False,Please also add information on bus departures for each route and fares too.,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNiOFpTSVBBEAE,3,"Cuman lewat aja, tapi notifikasi nya muncul di google maps. Lokasi pool berada dipinggir jalan raya Tasikmalaya Jawa Barat. Salah satu bus primadona jalur selatan Jawa Barat",a week ago,2024-07-28 20:22:57.309539,,,,0,256,175,True,"Just passing by, but the notification appears on Google Maps. The location of the pool is on the side of the Tasikmalaya highway, West Java. One of the favorite buses on the southern route of West Java",
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChZDSUhNMG9nS0VJQ0FnSUNienRfTVNnEAE,1,The Tasik Jakarta driver intended to kill another driver at Tos Cipularang by recklessly mindlessly cutting at will. Thats why there are lots of cress on Jalan P.O. Primajasa,a week ago,2024-07-28 20:22:57.311753,,,,0,2,,False,,
ChIJ4c6x2MhQby4Rwv5z4w8neKM,Pool Primajasa Tasikmalaya,ChdDSUhNMG9nS0VJQ0FnSUNiaHMtU2h3RRAB,1,Ketika saya barang hilang ketinggalan di bis tidak dicarikan sama sekali saya menunggu waktu nya belom datang juga semoga bisa dapat barang saya terima kasih,a week ago,2024-07-28 20:22:57.313771,,,,1,4,,False,"When I lost my item and left it on the bus, I didnt look for it at all. I waited for the time but it hasnt come yet. I hope I can get my item, thank you",
